timestamp,date,day,drowsy_alarm,mobile_alarm,total_driving_time,drowsy_time,blink_rate,break_time
2025-02-07 15:49:00,2025-02-07,Friday,34,39,00:32:16,68,9.0,0
2025-02-07 15:50:00,2025-02-07,Friday,37,40,00:33:16,74,13.0,0
2025-02-07 15:51:00,2025-02-07,Friday,40,40,00:34:16,80,4.0,0
2025-02-07 15:52:00,2025-02-07,Friday,40,42,00:35:16,80,2.0,0
2025-02-07 15:53:00,2025-02-07,Friday,40,43,00:36:16,80,10.0,0
2025-02-07 15:54:00,2025-02-07,Friday,40,43,00:37:16,80,4.0,0
2025-02-07 15:55:00,2025-02-07,Friday,42,44,00:38:16,84,14.0,0
2025-02-07 15:56:00,2025-02-07,Friday,43,44,00:39:16,86,6.0,0
2025-02-07 15:57:00,2025-02-07,Friday,43,45,00:40:16,86,21.0,0
2025-02-07 15:58:00,2025-02-07,Friday,44,49,00:41:16,88,19.0,0
2025-02-07 16:01:06,2025-02-07,Friday,0,0,00:00:00,0,0.0,0
2025-02-07 16:02:00,2025-02-07,Friday,2,1,00:00:53,4,13.0,0
2025-02-07 16:03:00,2025-02-07,Friday,3,1,00:01:53,6,20.0,0
2025-02-07 16:04:00,2025-02-07,Friday,6,5,00:02:53,12,13.0,0
2025-02-07 16:05:00,2025-02-07,Friday,6,10,00:03:53,12,19.0,0
2025-02-07 16:06:00,2025-02-07,Friday,7,11,00:04:53,14,23.0,0
2025-02-07 16:07:00,2025-02-07,Friday,11,12,00:05:53,22,29.0,0
2025-02-07 16:08:00,2025-02-07,Friday,12,12,00:06:53,24,27.0,0
2025-02-07 16:09:00,2025-02-07,Friday,14,12,00:07:53,28,36.0,0
2025-02-07 16:10:00,2025-02-07,Friday,15,13,00:08:53,30,36.0,0
2025-02-07 16:11:00,2025-02-07,Friday,15,13,00:09:53,30,25.0,0
2025-02-07 16:12:00,2025-02-07,Friday,16,13,00:10:53,32,25.0,0
2025-02-07 16:13:00,2025-02-07,Friday,16,13,00:11:53,32,21.0,0
2025-02-07 16:14:00,2025-02-07,Friday,18,13,00:12:53,36,37.0,0
2025-02-07 16:15:00,2025-02-07,Friday,23,13,00:13:53,46,26.0,0
2025-02-07 16:16:00,2025-02-07,Friday,27,13,00:14:53,54,16.0,0
2025-02-07 16:17:00,2025-02-07,Friday,27,13,00:15:53,54,29.0,0
2025-02-07 16:18:00,2025-02-07,Friday,32,13,00:16:53,64,15.0,0
2025-02-07 16:19:00,2025-02-07,Friday,34,16,00:17:53,68,22.0,0
2025-02-07 16:20:00,2025-02-07,Friday,35,16,00:18:53,70,17.0,0
2025-02-07 16:21:00,2025-02-07,Friday,37,16,00:19:53,74,15.0,0
2025-02-07 16:22:00,2025-02-07,Friday,38,17,00:20:53,76,17.0,0
2025-02-07 16:23:00,2025-02-07,Friday,45,17,00:21:53,90,18.0,0
2025-02-07 16:24:00,2025-02-07,Friday,48,17,00:22:53,96,28.0,0
2025-02-07 16:25:00,2025-02-07,Friday,50,20,00:23:53,100,20.0,0
2025-02-07 16:26:00,2025-02-07,Friday,51,20,00:24:53,102,30.0,0
2025-02-07 16:27:00,2025-02-07,Friday,51,20,00:25:53,102,13.0,0
2025-02-07 16:28:00,2025-02-07,Friday,52,20,00:26:53,104,22.0,0
2025-02-07 16:29:00,2025-02-07,Friday,54,21,00:27:53,108,20.0,0
2025-02-07 16:30:00,2025-02-07,Friday,54,21,00:28:53,108,18.0,0
2025-02-07 16:31:00,2025-02-07,Friday,54,21,00:29:53,108,17.0,0
2025-02-07 16:32:00,2025-02-07,Friday,54,21,00:30:53,108,17.0,0
2025-02-07 16:33:00,2025-02-07,Friday,54,22,00:31:53,108,20.0,0
2025-02-07 16:34:00,2025-02-07,Friday,54,24,00:32:53,108,41.0,0
2025-02-07 16:35:00,2025-02-07,Friday,56,24,00:33:53,112,29.0,0
2025-02-07 16:36:00,2025-02-07,Friday,59,26,00:34:53,118,19.0,0
2025-02-07 16:37:00,2025-02-07,Friday,59,30,00:35:53,118,22.0,0
2025-02-07 16:38:00,2025-02-07,Friday,61,31,00:36:53,122,27.0,0
2025-02-07 16:39:00,2025-02-07,Friday,61,37,00:37:53,122,17.0,0
2025-02-07 16:40:00,2025-02-07,Friday,61,40,00:38:53,122,19.0,0
2025-02-07 16:41:00,2025-02-07,Friday,63,46,00:39:53,126,20.0,0
2025-02-07 16:42:00,2025-02-07,Friday,65,50,00:40:53,130,24.0,0
2025-02-07 16:43:00,2025-02-07,Friday,65,50,00:41:53,130,28.0,0
2025-02-07 16:44:00,2025-02-07,Friday,65,51,00:42:53,130,27.0,0
2025-02-07 16:45:00,2025-02-07,Friday,65,52,00:43:53,130,25.0,0
2025-02-07 16:46:00,2025-02-07,Friday,65,52,00:44:53,130,22.0,0
2025-02-07 16:47:00,2025-02-07,Friday,65,52,00:45:53,130,15.0,0
2025-02-07 16:48:00,2025-02-07,Friday,65,58,00:46:53,130,17.0,0
2025-02-07 16:49:00,2025-02-07,Friday,66,68,00:47:53,132,22.0,0
